"","idigbio.uuid","dwc.genus","dwc.specificEpithet","dwc.institutionCode","dwc.catalogNumber"
"255","7074f4e3-84a8-4833-a63a-6e78d441b4d9","Holothuria","atra","MCZ","HOL-1848"
"256","36ef2f98-a865-4e74-93a7-894fdb0eabb7","Holothuria","atra","FLMNH","5937-Echinodermata"
"257","35ca7d36-d670-4918-95c2-1f8b341b7266","Holothuria","atra","MCZ","HOL-2099"
"258","933d8958-6937-40f9-8b49-1a8d0ada3832","Holothuria","atra","FLMNH","8924-Echinodermata"
"259","713ea7bd-96a8-459b-a6a1-d46b015313d5","Holothuria","atra","FLMNH","12150-Echinodermata"
"260","85dd0509-9f71-4c57-94f5-dc07d4db3b79","Holothuria","atra","FLMNH","12616-Echinodermata"
"261","2f77a3ef-a009-43ee-8b3d-02563010fcef","Holothuria","atra","FLMNH","13957-Echinodermata"
"262","244b692b-129e-46fe-b399-e091cd992a8f","Holothuria","atra","FLMNH","3162-Echinodermata"
"263","cfca227c-dd2b-4456-8d2e-22c01c82668c","Holothuria","atra","FLMNH","16102-Echinodermata"
"264","5d843df3-edf9-4073-a738-4426bfc2e02e","Holothuria","atra","FLMNH","15784-Echinodermata"
"265","49479e0b-a56b-4e37-8b93-849eca751bf2","Holothuria","atra","FLMNH","6645-Echinodermata"
"266","b653de10-7e64-487c-86fe-1559dafa13ea","Holothuria","atra","MCZ","HOL-562"
"267","4c19b207-3208-4819-87c6-391262e0d5d6","Holothuria","atra","FLMNH","5691-Echinodermata"
"268","f7fd028a-c60d-424c-a1fd-f65c13357ffa","Holothuria","atra","FLMNH","6430-Echinodermata"
"269","659bda9d-80d6-4b4f-82b1-f9234f931e92","Holothuria","atra","FLMNH","4530-Echinodermata"
"270","022bb39b-8cd4-4e2e-95e1-b524cddfb2c4","Holothuria","atra","FLMNH","2770-Echinodermata"
"271","a35753d4-91ce-493a-87c5-0887fe606c58","Holothuria","atra","FLMNH","12151-Echinodermata"
"272","f9af049c-8ac7-4c5f-87ec-47a23682ad57","Holothuria","atra","FLMNH","9607-Echinodermata"
"273","c140ec37-e03f-4f62-9ba9-a42bd2989459","Holothuria","atra","YPM","YPM IZ 069706"
"274","471a5ff5-0c31-4a41-a456-51af6cfeb2c4","Holothuria","atra","FLMNH","3301-Echinodermata"
"275","ab1048df-4008-45b3-8f84-be5ce7d16aa8","Holothuria","atra","MCZ","HOL-1359"
"276","0fbe9167-68cf-48e8-8ed0-b1690dd5da2e","Holothuria","atra","FLMNH","6122-Echinodermata"
